county,covid_deaths,fips_code,state_code
Aleutians East Borough,,2013,AK
Anchorage Municipality,204,2020,AK
Bethel Census Area,17,2050,AK
Dillingham Census Area,,2070,AK
Fairbanks North Star Borough,47,2090,AK
Hoonah-Angoon Census Area,,2105,AK
Juneau City and Borough,,2110,AK
Kenai Peninsula Borough,14,2122,AK
Ketchikan Gateway Borough,,2130,AK
Kodiak Island Borough,,2150,AK
Matanuska-Susitna Borough,47,2170,AK
North Slope Borough,,2185,AK
Sitka City and Borough,,2220,AK
Valdez-Cordova Census Area,,2261,AK
Wade Hampton Census Area,,2270,AK
Autauga County,96,1001,AL
Baldwin County,263,1003,AL
Barbour County,40,1005,AL
Bibb County,31,1007,AL
Blount County,50,1009,AL
Bullock County,,1011,AL
Butler County,32,1013,AL
Calhoun County,304,1015,AL
Chambers County,39,1017,AL
Cherokee County,17,1019,AL
Chilton County,32,1021,AL
Choctaw County,16,1023,AL
Clarke County,17,1025,AL
Clay County,36,1027,AL
Cleburne County,15,1029,AL
Coffee County,85,1031,AL
Colbert County,175,1033,AL
Conecuh County,11,1035,AL
Coosa County,,1037,AL
Covington County,111,1039,AL
Crenshaw County,31,1041,AL
Cullman County,217,1043,AL
Dale County,78,1045,AL
Dallas County,117,1047,AL
DeKalb County,111,1049,AL
Elmore County,58,1051,AL
Escambia County,59,1053,AL
Etowah County,389,1055,AL
Fayette County,26,1057,AL
Franklin County,30,1059,AL
Geneva County,38,1061,AL
Greene County,,1063,AL
Hale County,20,1065,AL
Henry County,,1067,AL
Houston County,577,1069,AL
Jackson County,71,1071,AL
Jefferson County,2246,1073,AL
Lamar County,12,1075,AL
Lauderdale County,277,1077,AL
Lawrence County,27,1079,AL
Lee County,314,1081,AL
Limestone County,122,1083,AL
Lowndes County,,1085,AL
Macon County,11,1087,AL
Madison County,697,1089,AL
Marengo County,53,1091,AL
Marion County,75,1093,AL
Marshall County,207,1095,AL
Mobile County,979,1097,AL
Monroe County,22,1099,AL
Montgomery County,919,1101,AL
Morgan County,250,1103,AL
Perry County,,1105,AL
Pickens County,14,1107,AL
Pike County,68,1109,AL
Randolph County,15,1111,AL
Russell County,53,1113,AL
St. Clair County,108,1115,AL
Shelby County,181,1117,AL
Sumter County,,1119,AL
Talladega County,123,1121,AL
Tallapoosa County,111,1123,AL
Tuscaloosa County,611,1125,AL
Walker County,200,1127,AL
Washington County,11,1129,AL
Wilcox County,,1131,AL
Winston County,34,1133,AL
Arkansas County,11,5001,AR
Ashley County,11,5003,AR
Baxter County,156,5005,AR
Benton County,467,5007,AR
Boone County,76,5009,AR
Bradley County,18,5011,AR
Carroll County,17,5015,AR
Chicot County,23,5017,AR
Clark County,25,5019,AR
Clay County,30,5021,AR
Cleburne County,35,5023,AR
Cleveland County,,5025,AR
Columbia County,53,5027,AR
Conway County,10,5029,AR
Craighead County,569,5031,AR
Crawford County,36,5033,AR
Crittenden County,38,5035,AR
Cross County,18,5037,AR
Dallas County,14,5039,AR
Desha County,,5041,AR
Drew County,19,5043,AR
Faulkner County,232,5045,AR
Franklin County,21,5047,AR
Fulton County,33,5049,AR
Garland County,376,5051,AR
Grant County,12,5053,AR
Greene County,54,5055,AR
Hempstead County,19,5057,AR
Hot Spring County,20,5059,AR
Howard County,17,5061,AR
Independence County,176,5063,AR
Izard County,21,5065,AR
Jackson County,14,5067,AR
Jefferson County,187,5069,AR
Johnson County,22,5071,AR
