county,covid_deaths,fips_code,state_code
Aleutians East Borough,0,2013,AK
Anchorage Municipality,510,2020,AK
Bethel Census Area,26,2050,AK
Denali Borough,0,2068,AK
Dillingham Census Area,0,2070,AK
Fairbanks North Star Borough,134,2090,AK
Hoonah-Angoon Census Area,0,2105,AK
Juneau City and Borough,0,2110,AK
Kenai Peninsula Borough,55,2122,AK
Ketchikan Gateway Borough,10,2130,AK
Kodiak Island Borough,0,2150,AK
Matanuska-Susitna Borough,153,2170,AK
Nome Census Area,0,2180,AK
North Slope Borough,0,2185,AK
Northwest Arctic Borough,0,2188,AK
Prince of Wales-Hyder Census Area,0,2198,AK
Sitka City and Borough,0,2220,AK
Southeast Fairbanks Census Area,0,2240,AK
Valdez-Cordova Census Area,0,2261,AK
Wade Hampton Census Area,0,2270,AK
Autauga County,130,1001,AL
Baldwin County,517,1003,AL
Barbour County,59,1005,AL
Bibb County,40,1007,AL
Blount County,67,1009,AL
Bullock County,0,1011,AL
Butler County,61,1013,AL
Calhoun County,492,1015,AL
Chambers County,44,1017,AL
Cherokee County,26,1019,AL
Chilton County,54,1021,AL
Choctaw County,18,1023,AL
Clarke County,24,1025,AL
Clay County,42,1027,AL
Cleburne County,22,1029,AL
Coffee County,158,1031,AL
Colbert County,248,1033,AL
Conecuh County,28,1035,AL
Coosa County,0,1037,AL
Covington County,194,1039,AL
Crenshaw County,41,1041,AL
Cullman County,318,1043,AL
Dale County,108,1045,AL
Dallas County,159,1047,AL
DeKalb County,164,1049,AL
Elmore County,75,1051,AL
Escambia County,120,1053,AL
Etowah County,560,1055,AL
Fayette County,37,1057,AL
Franklin County,42,1059,AL
Geneva County,80,1061,AL
Greene County,0,1063,AL
Hale County,21,1065,AL
Henry County,0,1067,AL
Houston County,844,1069,AL
Jackson County,121,1071,AL
Jefferson County,3030,1073,AL
Lamar County,14,1075,AL
Lauderdale County,380,1077,AL
Lawrence County,36,1079,AL
Lee County,437,1081,AL
Limestone County,169,1083,AL
Lowndes County,11,1085,AL
Macon County,14,1087,AL
Madison County,1023,1089,AL
Marengo County,96,1091,AL
Marion County,97,1093,AL
Marshall County,310,1095,AL
Mobile County,1584,1097,AL
Monroe County,50,1099,AL
Montgomery County,1196,1101,AL
Morgan County,347,1103,AL
Perry County,12,1105,AL
Pickens County,20,1107,AL
Pike County,89,1109,AL
Randolph County,20,1111,AL
Russell County,70,1113,AL
St. Clair County,151,1115,AL
Shelby County,254,1117,AL
Sumter County,11,1119,AL
Talladega County,225,1121,AL
Tallapoosa County,144,1123,AL
Tuscaloosa County,849,1125,AL
Walker County,280,1127,AL
Washington County,17,1129,AL
Wilcox County,12,1131,AL
Winston County,52,1133,AL
Arkansas County,19,5001,AR
Ashley County,17,5003,AR
Baxter County,282,5005,AR
Benton County,716,5007,AR
Boone County,113,5009,AR
Bradley County,22,5011,AR
Calhoun County,0,5013,AR
Carroll County,25,5015,AR
Chicot County,24,5017,AR
Clark County,31,5019,AR
Clay County,37,5021,AR
Cleburne County,38,5023,AR
Cleveland County,10,5025,AR
Columbia County,69,5027,AR
Conway County,10,5029,AR
Craighead County,830,5031,AR
Crawford County,50,5033,AR
Crittenden County,52,5035,AR
Cross County,23,5037,AR
Dallas County,16,5039,AR
Desha County,12,5041,AR
Drew County,22,5043,AR
Faulkner County,339,5045,AR
Franklin County,26,5047,AR
Fulton County,44,5049,AR
Garland County,584,5051,AR
Grant County,17,5053,AR
Greene County,70,5055,AR
Hempstead County,27,5057,AR
Hot Spring County,24,5059,AR
Howard County,28,5061,AR
Independence County,247,5063,AR
Izard County,27,5065,AR
Jackson County,15,5067,AR
Jefferson County,243,5069,AR
Johnson County,41,5071,AR
Lafayette County,0,5073,AR
Lawrence County,22,5075,AR
Lee County,13,5077,AR
Lincoln County,15,5079,AR
Little River County,37,5081,AR
Logan County,28,5083,AR
Lonoke County,45,5085,AR
Madison County,0,5087,AR
Marion County,30,5089,AR
Miller County,26,5091,AR
Mississippi County,46,5093,AR
Monroe County,0,5095,AR
Montgomery County,16,5097,AR
