county,covid_deaths,mortality_rate,party,pop_density,state,total_pop
Choctaw County,18,137.66730401529637,R,5.52650860439243,Alabama,13075
Conecuh County,28,223.7494006712482,R,5.68299517064302,Alabama,12514
Greene County,9,106.81224780441491,R,5.02810013073651,Alabama,8426
Lowndes County,11,107.46385306760453,R,5.52043597931141,Alabama,10236
Perry County,12,126.5022137887413,R,5.08932713103056,Alabama,9486
Sumter County,11,84.71313053523296,R,5.5470144040799,Alabama,12985
Washington County,17,102.14504596527068,R,5.94877180648605,Alabama,16643
Wilcox County,12,111.01859561476547,R,4.69736954024345,Alabama,10809
Aleutians East Borough,9,262.77372262773724,-,0.18931798413723,Alaska,3425
Bethel Census Area,26,144.12416851441242,-,0.171435928666343,Alaska,18040
Denali Borough,9,403.2258064516129,-,0.0681951983542993,Alaska,2232
Dillingham Census Area,9,180.90452261306532,-,0.104785321760152,Alaska,4975
Fairbanks North Star Borough,134,134.46659909887308,-,5.24949098254823,Alaska,99653
Hoonah-Angoon Census Area,9,422.1388367729831,-,0.125547899224925,Alaska,2132
Juneau City and Borough,9,27.837921435199505,-,4.61661018835993,Alaska,32330
Kenai Peninsula Borough,55,94.46925455170044,-,1.40288530686126,Alaska,58220
Ketchikan Gateway Borough,10,72.44277021153289,-,1.0973632644438,Alaska,13804
Kodiak Island Borough,9,65.93889662246319,-,0.796616253836105,Alaska,13649
Matanuska-Susitna Borough,153,147.8775226165623,-,1.61641230138181,Alaska,103464
Nome Census Area,9,90.68010075566751,-,0.166814790483156,Alaska,9925
North Slope Borough,9,91.86485658875166,-,0.0425856311115024,Alaska,9797
Northwest Arctic Borough,9,116.36927851047324,-,0.0837655920658693,Alaska,7734
Prince of Wales-Hyder Census Area,9,139.01760889712696,-,0.474963699740084,Alaska,6474
Sitka City and Borough,9,102.99839780270085,-,1.17552014159081,Alaska,8738
Southeast Fairbanks Census Area,9,130.89005235602093,-,0.106951726969006,Alaska,6876
Valdez-Cordova Census Area,9,96.7637888399097,-,0.104936772956997,Alaska,9301
Apache County,135,188.75311093090238,S,2.4661635471983,Arizona,71522
Coconino County,339,241.76811656218575,S,2.9077305777695,Arizona,140217
Gila County,155,290.2621722846442,S,4.33330667751936,Arizona,53400
Graham County,84,221.75875815095435,S,3.16377107795328,Arizona,37879
Greenlee County,9,94.6969696969697,S,1.99216003069318,Arizona,9504
La Paz County,32,154.58190425583305,S,1.77630223819669,Arizona,20701
Mohave County,889,431.41936485752,S,5.97711349615256,Arizona,206064
Navajo County,272,250.2184812106159,S,4.21826164424761,Arizona,108705
Calhoun County,9,173.01038062283737,R,3.19537992240791,Arkansas,5202
Cleveland County,10,121.56576707999028,R,5.31308376264506,Arkansas,8226
Dallas County,16,215.28525296017222,R,4.2996258215917,Arkansas,7432
Desha County,12,100.95061832253722,R,5.97498329534256,Arkansas,11887
Lafayette County,9,130.1518438177874,R,5.05379689323219,Arkansas,6915
Monroe County,9,124.15505586977514,R,4.60991267149704,Arkansas,7249
Montgomery County,16,177.91615701100855,R,4.45236901326667,Arkansas,8993
Nevada County,12,142.18009478672985,R,5.27436382601417,Arkansas,8440
Newton County,20,254.841997961264,R,3.69118925414889,Arkansas,7848
Prairie County,9,109.17030567685589,R,4.91293433526316,Arkansas,8244
Scott County,18,172.3807699674392,R,4.51826611649416,Arkansas,10442
Searcy County,13,164.0792629054651,R,4.59257233092457,Arkansas,7923
Woodruff County,9,135.13513513513513,R,4.38237679654509,Arkansas,6660
Inyo County,35,193.53055017970695,D,0.685856010703446,California,18085
Lassen County,35,112.2334455667789,D,2.65142146128389,California,31185
Mariposa County,9,51.31128848346636,D,4.67425188076992,California,17540
Modoc County,12,134.25822331617812,D,0.881376108971028,California,8938
Mono County,9,63.496542965994074,D,1.79489551715331,California,14174
Plumas County,11,58.82667522327397,D,2.82786846414243,California,18699
Sierra County,9,307.1672354948806,D,1.18686208307387,California,2930
Siskiyou County,57,130.91410197519522,D,2.67741844120691,California,43540
Trinity County,9,69.9735655419064,D,1.56200946498919,California,12862
Archuleta County,9,69.72420204524326,D,3.69147125917798,Colorado,12908
Baca County,9,252.59612685938816,D,0.538428945812222,Colorado,3563
Bent County,15,258.2200034429334,D,1.48254766278441,Colorado,5809
Cheyenne County,9,441.39283962726824,D,0.442710948941876,Colorado,2039
Conejos County,16,196.51191353475804,D,2.44178525659461,Colorado,8142
